ENVO:01000518	diapir
ENVO:00000403	shield volcano
ENVO:01001111	fossil worm burrow
ENVO:00010624	botanical garden
ENVO:01000731	igneous extrusion
ENVO:00000302	rift valley
ENVO:03500001	playground
ENVO:00000100	valley
ENVO:01001151	proplyd
ENVO:01001773	thrust fault
ENVO:00000265	guyot
ENVO:00000464	artificial harbor
ENVO:00000407	subglacial volcano
ENVO:00000530	apron
ENVO:00005745	allotment garden
ENVO:03501358	processing line
ENVO:00000064	road
ENVO:01001071	impact crater
ENVO:01000413	old plant
ENVO:01000348	maize field
ENVO:01000450	salt glacier
ENVO:03500002	public park
ENVO:00000391	land bridge
ENVO:01000443	salt mass
ENVO:00000436	tunnel valley
ENVO:00010625	zoological garden
ENVO:00000432	monadnock
ENVO:01000002	water well
ENVO:01000275	structural basin
ENVO:03501244	Bailey bridge
ENVO:03600087	greenhouse
ENVO:01000440	dacitic volcano
ENVO:03600033	residential backyard
ENVO:00000245	maar
ENVO:03501238	hillock
ENVO:03501249	suspension bridge
ENVO:00000311	kettle
ENVO:00000555	check dam
ENVO:01000736	phacolith
ENVO:00000247	volcano
ENVO:01000522	latrine pit
ENVO:01001538	frost-formed hummock
ENVO:00000478	range of mounts
ENVO:02000157	municipal landfill
ENVO:00000289	horst
ENVO:00000413	pingo
ENVO:00000468	hydroelectric dam
ENVO:00000421	wave-cut platform
ENVO:00000438	alas
ENVO:01000649	trench
ENVO:00002185	oil reservoir
ENVO:00000046	hedge
ENVO:03600039	fermentation pit
ENVO:01000360	solutional cave
ENVO:01001481	public prison
ENVO:03600020	tailings dam
ENVO:01000468	fence
ENVO:01000424	patio
ENVO:02000133	nuclear reactor
ENVO:00000127	badland
ENVO:00000335	polygonal karst
ENVO:00000257	flood fringe
ENVO:03600068	ice wedge
ENVO:03500004	bike path
ENVO:02000143	sugar refinery
ENVO:00000304	shore
ENVO:02000135	fast neutron reactor
ENVO:00000081	mountain
ENVO:01001873	hatchery
ENVO:01000333	hillside
ENVO:03501351	ground transport
ENVO:00000082	hill range
ENVO:00000066	man-made tunnel
ENVO:00009726	strand crack
ENVO:00000011	garden
ENVO:00000560	nuclear weapons test site
ENVO:00000071	fault cave
